R_Fighter,B_Fighter,R_Status,B_Status,URL,R_CTRL_sec,B_CTRL_sec,R_HEAD_landed,R_HEAD_attempted,B_HEAD_landed,B_HEAD_attempted,R_BODY_landed,R_BODY_attempted,B_BODY_landed,B_BODY_attempted,R_LEG_landed,R_LEG_attempted,B_LEG_landed,B_LEG_attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_Win,B_Win
Chris Leben,Alessio Sakara,W,L,http://ufcstats.com/fight-details/50325e08203fedbd,27,0,15,35,12,31,4,6,1,2,5,9,0,0,0,1,0,0,1,0
Heath Herring,Cheick Kongo,W,L,http://ufcstats.com/fight-details/65352762d807cd59,71,207,2,7,9,13,0,1,6,6,2,2,7,7,2,2,3,3,1,0
Jorge Gurgel,John Halverson,W,L,http://ufcstats.com/fight-details/d036a7aeab47cf8c,95,12,5,24,7,32,2,2,3,3,16,16,2,2,0,1,0,0,1,0
Luigi Fioravanti,Luke Cummo,W,L,http://ufcstats.com/fight-details/5182daf3d8726f6d,216,0,12,28,4,14,0,2,1,2,1,2,0,1,4,4,0,0,1,0
Andrei Arlovski,Jake O'Brien,W,L,http://ufcstats.com/fight-details/8b15591a73aa7eb0,46,210,0,7,1,4,0,0,0,0,0,0,0,0,0,0,1,9,1,0
Josh Koscheck,Dustin Hazelett,W,L,http://ufcstats.com/fight-details/825aa322af15780a,69,0,9,35,12,37,3,5,2,3,4,4,3,3,1,1,0,0,1,0
Yushin Okami,Evan Tanner,W,L,http://ufcstats.com/fight-details/04476d021385a621,28,80,6,25,5,15,5,6,1,3,3,3,6,7,0,0,1,2,1,0
Anderson Silva,Dan Henderson,W,L,http://ufcstats.com/fight-details/a53b8686b748849f,0,173,2,6,7,14,0,0,0,0,2,2,2,2,0,0,1,1,1,0
Diego Sanchez,David Bielkheden,W,L,http://ufcstats.com/fight-details/bcf49463525efbee,270,0,21,47,0,0,3,3,1,1,0,0,0,0,1,1,0,0,1,0
Jon Fitch,Chris Wilson,W,L,http://ufcstats.com/fight-details/029cd254fe02d4b8,120,2,3,17,3,14,1,2,7,7,4,6,1,2,2,4,0,0,1,0
Sarah Moras,Alexis Dufresne,W,L,http://ufcstats.com/fight-details/e7318f41bce58b8c,0,280,4,12,0,8,0,2,4,4,1,1,1,1,0,0,1,1,1,0
