Fighter,Total_Fights,Total_Wins,Avg_CTRL_sec,Avg_HEAD_landed,Avg_BODY_landed,Avg_LEG_landed,Avg_TD_landed,Win_Rate,Avg_Total_Strikes
Khabib Nurmagomedov,11,11,141.0,14.55,1.27,0.82,1.73,100.0,16.64
Kyoji Horiguchi,8,8,65.25,10.75,4.12,1.88,0.38,100.0,16.75
Francis Ngannou,7,7,19.71,8.0,2.14,1.71,0.14,100.0,11.86
Manon Fiorot,7,7,17.71,16.57,6.71,5.43,0.29,100.0,28.71
Movsar Evloev,7,7,139.0,9.71,1.71,0.86,1.57,100.0,12.29
Don Frye,6,6,0.0,5.5,1.0,0.5,0.17,100.0,7.0
Ilia Topuria,6,6,47.0,10.5,5.83,2.83,0.5,100.0,19.17
Khamzat Chimaev,6,6,204.33,16.33,1.5,0.83,1.33,100.0,18.67
Michael Morales,6,6,25.83,19.67,1.83,3.67,0.0,100.0,25.17
Muhammad Mokaev,6,6,153.17,6.83,3.0,1.5,1.33,100.0,11.33
Natalia Silva,6,6,24.33,9.17,3.5,4.33,0.0,100.0,17.0
Vitor Petrino,6,6,128.17,8.17,3.0,0.83,1.17,100.0,12.0
Aiemann Zahabi,5,5,2.6,9.0,3.0,1.6,0.0,100.0,13.6
Chris Duncan,5,5,64.6,13.0,3.0,4.0,0.6,100.0,20.0
Joshua Van,5,5,1.4,11.4,3.4,3.6,0.0,100.0,18.4
Roger Huerta,5,5,109.0,12.4,3.4,0.2,0.8,100.0,16.0
Shavkat Rakhmonov,5,5,173.6,10.6,5.2,0.0,0.4,100.0,15.8
Tagir Ulanbekov,5,5,127.0,10.0,2.2,0.8,0.8,100.0,13.0
Azamat Murzakanov,4,4,19.25,9.0,2.75,0.25,0.25,100.0,12.0
Bo Nickal,4,4,120.5,8.5,1.25,0.5,1.25,100.0,10.25
Brett Johns,4,4,159.25,8.5,0.5,0.75,2.5,100.0,9.75
Dean Lister,4,4,58.25,3.0,1.0,0.75,1.0,100.0,4.75
Farid Basharat,4,4,102.0,8.5,3.25,4.0,0.75,100.0,15.75
Jacqueline Cavalcanti,4,4,8.5,10.75,5.75,11.75,0.0,100.0,28.25
Pat Miletich,4,4,130.25,5.5,2.25,2.0,1.0,100.0,9.75
William Gomis,4,4,81.75,3.0,3.25,8.75,0.25,100.0,15.0
Zabit Magomedsharipov,4,4,54.0,17.25,4.25,4.0,1.0,100.0,25.5
Alberto Mina,3,3,66.0,14.0,2.33,3.67,1.0,100.0,20.0
Asu Almabayev,3,3,130.0,3.67,2.67,3.67,2.33,100.0,10.0
Ateba Gautier,3,3,0.33,16.0,2.0,0.33,0.0,100.0,18.33
Carlos Prates,3,3,1.33,8.0,4.33,6.33,0.0,100.0,18.67
Cat Zingano,3,3,68.0,4.0,4.0,1.67,1.0,100.0,9.67
Cristiane Justino,3,3,10.67,19.33,9.33,4.0,0.0,100.0,32.67
Daniel Marcos,3,3,14.0,13.33,4.67,4.67,0.0,100.0,22.67
Devonte Smith,3,3,2.33,14.0,1.67,3.33,0.0,100.0,19.0
Elves Brener,3,3,44.67,5.0,5.0,6.33,0.67,100.0,16.33
Frank Shamrock,3,3,1.33,0.67,3.33,1.33,0.0,100.0,5.33
Ikram Aliskerov,3,3,12.67,16.67,8.67,1.67,0.67,100.0,27.0
Ildemar Alcantara,3,3,56.33,4.33,4.67,0.67,1.0,100.0,9.67
Jeremiah Wells,3,3,89.33,5.0,1.0,0.0,0.33,100.0,6.0
Johnny Case,3,3,76.33,9.0,4.0,3.67,1.0,100.0,16.67
Jordan Johnson,3,3,113.33,20.0,1.33,0.0,1.67,100.0,21.33
Mairon Santos,3,3,7.0,5.33,4.33,5.0,0.0,100.0,14.67
Michael Page,3,3,21.67,8.0,3.0,2.67,0.0,100.0,13.67
SuYoung You,3,3,119.33,4.67,2.33,1.67,1.33,100.0,8.67
Todd Duffee,3,3,13.33,8.67,1.67,0.33,0.0,100.0,10.67
Islam Makhachev,14,13,106.86,5.57,2.07,1.07,0.93,92.86,8.71
Georges St-Pierre,13,12,119.38,14.15,3.46,3.46,1.15,92.31,21.08
Jon Jones,12,11,95.67,8.08,5.92,5.75,0.83,91.67,19.75
Demetrious Johnson,11,10,68.27,6.18,4.73,3.18,0.73,90.91,14.09
Lerone Murphy,9,8,19.67,8.89,4.33,2.44,0.11,88.89,15.67
Maycee Barber,9,8,57.78,16.11,3.89,2.78,0.0,88.89,22.78
Brendan Allen,8,7,140.25,9.25,3.12,1.88,1.12,87.5,14.25
Dricus Du Plessis,8,7,67.88,12.25,3.5,4.75,1.0,87.5,20.5
Spencer Fisher,8,7,75.5,7.25,6.38,2.62,0.5,87.5,16.25
Zhang Weili,8,7,80.12,16.75,4.25,4.75,0.38,87.5,25.75
Carlos Ulberg,7,6,3.57,15.43,5.71,5.0,0.0,85.71,26.14
Erin Blanchfield,7,6,80.0,18.71,3.43,4.43,0.71,85.71,26.57
Ian Machado Garry,7,6,13.86,10.71,4.29,4.57,0.14,85.71,19.57
Jared Rosholt,7,6,111.86,4.29,1.86,2.0,0.43,85.71,8.14
Jasmine Jasudavicius,7,6,152.43,11.0,3.0,1.29,0.86,85.71,15.29
Jon Fitch,7,6,123.0,4.29,2.43,1.86,1.0,85.71,8.57
Pat Sabatini,7,6,169.0,6.71,0.86,0.43,1.29,85.71,8.0
Rustam Khabilov,7,6,39.14,5.71,1.14,2.29,1.0,85.71,9.14
Steve Garcia,7,6,48.86,13.57,3.14,2.43,0.43,85.71,19.14
Tatiana Suarez,7,6,218.0,9.43,3.14,1.29,1.86,85.71,13.86
Umar Nurmagomedov,7,6,130.43,9.29,3.71,1.86,1.0,85.71,14.86
Amanda Nunes,13,11,74.15,14.38,2.15,4.15,0.69,84.62,20.69
Curtis Blaydes,13,11,119.92,6.69,1.46,4.23,1.54,84.62,12.38
Forrest Griffin,12,10,47.33,10.83,3.08,5.67,0.33,83.33,19.58
Grant Dawson,12,10,175.42,8.92,1.92,1.92,1.25,83.33,12.75
Merab Dvalishvili,12,10,90.25,12.0,3.25,5.0,1.25,83.33,20.25
Abdul Razak Alhassan,6,5,57.0,9.17,1.67,1.0,0.17,83.33,11.83
Brendan Schaub,6,5,86.33,10.67,1.0,0.33,0.83,83.33,12.0
Caio Borralho,6,5,75.33,6.17,3.33,2.83,0.5,83.33,12.33
Erik Perez,6,5,85.5,9.17,5.0,3.33,1.0,83.33,17.5
James Vick,6,5,7.17,8.5,4.67,2.5,0.0,83.33,15.67
Mairbek Taisumov,6,5,11.0,8.0,2.17,3.0,0.33,83.33,13.17
Martin Buday,6,5,45.83,17.17,2.17,3.5,0.17,83.33,22.83
Matt Lindland,6,5,159.0,9.0,0.83,2.0,0.83,83.33,11.83
Norman Parke,6,5,68.83,8.33,3.17,2.33,0.5,83.33,13.83
Taylor Lapilus,6,5,22.67,16.33,5.5,2.67,0.0,83.33,24.5
Joanna Jedrzejczyk,11,9,36.91,8.73,5.18,7.45,0.0,81.82,21.36
Magomed Ankalaev,11,9,31.55,8.0,3.64,2.45,0.09,81.82,14.09
Gilbert Burns,15,12,82.33,7.73,3.27,2.8,0.93,80.0,13.8
Kamaru Usman,15,12,135.73,8.0,3.93,2.2,1.07,80.0,14.13
Randy Couture,15,12,98.53,11.0,1.67,1.4,0.73,80.0,14.07
Arman Tsarukyan,10,8,144.1,7.3,2.9,3.0,1.0,80.0,13.2
Cain Velasquez,10,8,118.8,22.0,2.9,4.2,1.2,80.0,29.1
Nathaniel Wood,10,8,38.0,13.8,2.7,8.5,0.4,80.0,25.0
Bryan Battle,5,4,60.4,7.4,7.0,1.2,0.0,80.0,15.6
Chad Laprise,5,4,61.4,8.6,4.6,5.2,0.4,80.0,18.4
Christian Leroy Duncan,5,4,108.8,8.2,4.8,8.2,0.0,80.0,21.2
Cory Sandhagen,5,4,40.0,14.2,3.4,7.2,0.4,80.0,24.8
David Teymur,5,4,7.8,10.0,4.6,8.0,0.0,80.0,22.6
Gregor Gillespie,5,4,149.2,8.8,1.4,1.0,2.0,80.0,11.2
Jack Della Maddalena,5,4,10.0,17.2,3.8,1.4,0.0,80.0,22.4
Jacob Volkmann,5,4,121.6,3.2,0.2,1.4,0.6,80.0,4.8
Jamey-Lyn Horth,5,4,28.8,10.6,5.2,3.0,0.4,80.0,18.8
Jiri Prochazka,5,4,29.4,20.4,3.8,1.8,0.2,80.0,26.0
Loma Lookboonmee,5,4,33.6,7.2,7.8,4.4,1.0,80.0,19.4
Mike Malott,5,4,39.6,7.0,4.2,5.4,0.6,80.0,16.6
Miles Johns,5,4,37.6,10.6,0.8,3.0,0.0,80.0,14.4
Paddy Pimblett,5,4,33.8,17.2,5.2,7.4,0.4,80.0,29.8
Patrick Smith,5,4,0.0,3.0,1.8,0.4,0.4,80.0,5.2
Raul Rosas Jr.,5,4,200.0,2.8,1.0,1.4,1.8,80.0,5.2
Rinat Fakhretdinov,5,4,117.0,15.0,2.8,5.0,0.6,80.0,22.8
Sean Woodson,5,4,9.6,18.6,7.2,5.6,0.0,80.0,31.4
Tatsuro Taira,5,4,171.8,7.2,1.2,2.2,0.8,80.0,10.6
Raquel Pennington,14,11,36.29,9.79,5.71,2.14,0.14,78.57,17.64
Aaron Simpson,9,7,113.89,10.89,3.44,4.78,1.0,77.78,19.11
Alonzo Menifield,9,7,39.33,12.67,1.0,1.22,0.11,77.78,14.89
Benson Henderson,9,7,47.0,4.56,4.67,5.22,0.33,77.78,14.44
Chris Gutierrez,9,7,11.44,5.67,2.56,11.22,0.0,77.78,19.44
Derek Brunson,9,7,107.78,9.11,0.56,0.56,0.22,77.78,10.22
Fares Ziam,9,7,77.78,7.67,3.22,3.0,0.44,77.78,13.89
Paul Felder,9,7,41.0,9.33,3.11,3.33,0.0,77.78,15.78
Sean Brady,9,7,65.67,9.67,1.89,7.33,0.78,77.78,18.89
Stephan Bonnar,9,7,119.44,8.44,3.11,1.33,0.67,77.78,12.89
Yan Xiaonan,9,7,16.22,13.22,2.33,5.44,0.11,77.78,21.0
Alexander Volkanovski,13,10,59.23,11.62,3.38,7.69,0.46,76.92,22.69
Alexandre Pantoja,13,10,57.85,11.46,4.15,4.46,0.38,76.92,20.08
Valentina Shevchenko,13,10,102.54,8.31,2.69,3.46,0.92,76.92,14.46
