R_Fighter,B_Fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,method,last_round,last_round_time,Format,Referee,date,location,fight_type,Winner,R_SIG_STR_landed,R_SIG_STR_attempted,B_SIG_STR_landed,B_SIG_STR_attempted,R_TOTAL_STR_landed,R_TOTAL_STR_attempted,B_TOTAL_STR_landed,B_TOTAL_STR_attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_HEAD_landed,R_HEAD_attempted,B_HEAD_landed,B_HEAD_attempted,R_BODY_landed,R_BODY_attempted,B_BODY_landed,B_BODY_attempted,R_LEG_landed,R_LEG_attempted,B_LEG_landed,B_LEG_attempted,R_DISTANCE_landed,R_DISTANCE_attempted,B_DISTANCE_landed,B_DISTANCE_attempted,R_CLINCH_landed,R_CLINCH_attempted,B_CLINCH_landed,B_CLINCH_attempted,R_GROUND_landed,R_GROUND_attempted,B_GROUND_landed,B_GROUND_attempted,R_CTRL_sec,B_CTRL_sec,R_Win,B_Win,source,R_Status,B_Status,URL,Gender,WeightClass,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RMatchWCRank,BMatchWCRank,EmptyArena,R_Height_cms,R_Weight_lbs,R_Reach_cms,R_Stance,R_DOB,R_SLpM,R_Str_Acc,R_SApM,R_Str_Def,R_TD_Avg,R_TD_Acc,R_TD_Def,R_Sub_Avg,B_Height_cms,B_Weight_lbs,B_Reach_cms,B_Stance,B_DOB,B_SLpM,B_Str_Acc,B_SApM,B_Str_Def,B_TD_Avg,B_TD_Acc,B_TD_Def,B_Sub_Avg
Adrian Yanez,Gustavo Lopez,2.0,0.0,0.39,0.45,,0.0,0.0,0.0,0.0,0.0,KO/TKO,3.0,0:27,3 Rnd (5-5-5),Chris Tognoni,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,41.0,103.0,23.0,51.0,41.0,103.0,23.0,51.0,0.0,0.0,0.0,1.0,32.0,83.0,14.0,40.0,8.0,19.0,5.0,7.0,1.0,1.0,4.0,4.0,41.0,102.0,23.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,170.18,135.0,177.8,Orthodox,1993-11-29,4.69,44%,2.31,55%,0.0,0%,100%,0.0,165.1,135.0,170.2,Orthodox,1989-06-27,2.24,41%,4.65,51%,1.07,50%,27%,0.5
Trevin Giles,Roman Dolidze,0.0,0.0,0.47,0.47,0.5,0.33,1.0,2.0,0.0,1.0,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,27.0,57.0,32.0,67.0,43.0,73.0,75.0,110.0,1.0,2.0,1.0,3.0,22.0,51.0,10.0,37.0,4.0,4.0,7.0,14.0,1.0,2.0,15.0,16.0,15.0,42.0,28.0,59.0,4.0,5.0,3.0,6.0,8.0,10.0,1.0,2.0,75.0,255.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,182.88,185.0,188.0,Orthodox,1992-08-06,3.26,56%,1.88,62%,1.37,80%,79%,0.3,187.96,205.0,193.0,Orthodox,1988-07-15,2.98,51%,1.75,61%,1.75,50%,33%,2.2
Tai Tuivasa,Harry Hunsucker,1.0,0.0,0.77,0.33,,,0.0,0.0,0.0,0.0,KO/TKO,1.0,0:49,3 Rnd (5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,14.0,18.0,2.0,6.0,14.0,18.0,2.0,6.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,9.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,10.0,0.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,187.96,264.0,190.5,Southpaw,1993-03-16,4.38,50%,3.44,50%,0.0,0%,46%,0.0,187.96,241.0,190.5,Orthodox,1989-01-03,4.33,51%,8.44,41%,0.0,0%,0%,0.0
Cheyanne Buys,Montserrat Conejo,0.0,0.0,0.47,0.36,,0.8,0.0,2.0,3.0,1.0,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,31.0,65.0,15.0,41.0,49.0,87.0,136.0,168.0,0.0,0.0,4.0,5.0,26.0,60.0,10.0,35.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,26.0,56.0,15.0,41.0,2.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,64.0,593.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,160.02,115.0,160.0,Switch,1995-06-25,4.1,53%,1.67,65%,0.0,0%,60%,0.0,152.4,115.0,154.9,Southpaw,1993-02-03,1.0,36%,2.07,52%,4.0,80%,0%,2.0
Marion Reneau,Macy Chiasson,0.0,0.0,0.47,0.36,0.5,1.0,0.0,0.0,0.0,1.0,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,30.0,63.0,51.0,138.0,59.0,93.0,92.0,184.0,2.0,4.0,1.0,1.0,14.0,40.0,29.0,110.0,7.0,13.0,15.0,20.0,9.0,10.0,7.0,8.0,25.0,54.0,36.0,119.0,5.0,9.0,13.0,15.0,0.0,0.0,2.0,4.0,135.0,228.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,167.64000000000001,135.0,172.7,Orthodox,1977-06-20,3.29,41%,3.37,61%,0.66,63%,50%,0.8,180.34,135.0,182.9,Orthodox,1991-07-27,4.16,49%,2.17,46%,0.98,21%,64%,0.5
Leonardo Santos,Grant Dawson,0.0,0.0,0.44,0.54,0.5,0.07,0.0,0.0,0.0,0.0,KO/TKO,3.0,4:59,3 Rnd (5-5-5),Chris Tognoni,"March 20, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,30.0,67.0,46.0,84.0,74.0,115.0,75.0,132.0,1.0,2.0,1.0,13.0,14.0,45.0,16.0,48.0,6.0,10.0,23.0,27.0,10.0,12.0,7.0,9.0,28.0,65.0,33.0,68.0,2.0,2.0,9.0,11.0,0.0,0.0,4.0,5.0,81.0,498.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,182.88,155.0,190.5,Orthodox,1980-02-05,2.65,44%,2.77,58%,1.07,29%,89%,0.3,177.8,145.0,182.9,Switch,1994-02-20,3.4,48%,2.1,51%,3.44,34%,40%,1.6
Song Kenan,Max Griffin,0.0,1.0,0.58,0.6,,0.0,0.0,0.0,0.0,0.0,KO/TKO,1.0,2:20,3 Rnd (5-5-5),Keith Peterson,"March 20, 2021","Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,14.0,24.0,17.0,28.0,14.0,24.0,17.0,28.0,0.0,0.0,0.0,1.0,5.0,10.0,11.0,17.0,5.0,8.0,2.0,7.0,4.0,6.0,4.0,4.0,14.0,24.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,28.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,182.88,170.0,180.3,Orthodox,1990-03-10,4.39,46%,4.37,54%,0.0,0%,50%,0.0,180.34,170.0,193.0,Orthodox,1985-11-29,4.14,48%,3.94,56%,1.7,51%,66%,0.5
Derek Brunson,Kevin Holland,0.0,0.0,0.46,0.48,0.5,1.0,1.0,0.0,0.0,0.0,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,43.0,93.0,36.0,74.0,226.0,323.0,190.0,236.0,6.0,12.0,1.0,1.0,28.0,74.0,28.0,64.0,7.0,10.0,2.0,4.0,8.0,9.0,6.0,6.0,14.0,43.0,29.0,64.0,10.0,10.0,5.0,7.0,19.0,40.0,2.0,3.0,1015.0,107.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,185.42,185.0,195.6,Southpaw,1984-01-04,3.46,47%,2.72,53%,3.11,33%,94%,0.5,190.5,185.0,205.7,Orthodox,1992-11-05,4.14,56%,2.58,56%,1.08,45%,51%,0.7
Montel Jackson,Jesse Strader,2.0,0.0,0.57,0.56,,,0.0,0.0,0.0,0.0,KO/TKO,1.0,1:58,3 Rnd (5-5-5),Keith Peterson,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,15.0,26.0,14.0,25.0,15.0,26.0,14.0,25.0,0.0,0.0,0.0,0.0,11.0,22.0,3.0,7.0,2.0,2.0,3.0,7.0,2.0,2.0,8.0,11.0,5.0,12.0,12.0,22.0,3.0,4.0,0.0,1.0,7.0,10.0,2.0,2.0,16.0,1.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,177.8,135.0,190.5,Southpaw,1992-04-24,3.77,55%,1.5,56%,4.15,77%,66%,0.2,170.18,135.0,177.8,Orthodox,1991-05-29,7.12,56%,7.63,42%,0.0,0%,0%,0.0
Bruno Silva,JP Buys,3.0,0.0,0.6,0.3,0.5,0.0,0.0,1.0,0.0,0.0,KO/TKO,2.0,2:56,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Flyweight Bout,Bruno Silva,37.0,61.0,17.0,56.0,62.0,89.0,37.0,76.0,1.0,2.0,0.0,1.0,29.0,51.0,8.0,42.0,4.0,6.0,4.0,7.0,4.0,4.0,5.0,7.0,26.0,43.0,15.0,53.0,1.0,2.0,2.0,3.0,10.0,16.0,0.0,0.0,231.0,62.0,0,0,kaggle1,,,,,,,,,,,,,,,,,,,,,,,,182.88,185.0,,,1989-07-13,0.0,0%,0.0,0%,0.0,0%,0%,0.0,165.1,125.0,170.2,Orthodox,1996-04-30,2.66,45%,3.05,43%,2.22,50%,33%,2.2
