R_Fighter,B_Fighter,R_Status,B_Status,URL,last_round,last_round_time,format,referee,fight_type,date,location,R_KD,B_KD,R_SIG_STR,B_SIG_STR,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR,B_TOTAL_STR,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND
Marlon Vera,David Martinez,L,W,http://ufcstats.com/fight-details/36d12b31957e94db,3,5:00,3 Rnd (5-5-5),Marc Goddard,Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,5 of 39,19 of 41,12%,46%,13 of 48,26 of 51,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:45,0 of 30,10 of 28,2 of 4,5 of 7,3 of 5,4 of 6,5 of 39,16 of 36,0 of 0,0 of 0,0 of 0,3 of 5
Regina Tarin,Ernesta Kareckaite,W,L,http://ufcstats.com/fight-details/44d58943ac8e47e1,3,5:00,3 Rnd (5-5-5),Raul Porrata,Catch Weight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,37 of 79,33 of 82,46%,40%,39 of 81,39 of 90,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:21,26 of 63,26 of 70,9 of 12,5 of 9,2 of 4,2 of 3,35 of 75,29 of 78,2 of 4,4 of 4,0 of 0,0 of 0
Imanol Rodriguez,Kevin Borjas,W,L,http://ufcstats.com/fight-details/15068d7b095ca9bd,2,4:21,3 Rnd (5-5-5),Raul Porrata,Flyweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,2,12 of 22,12 of 23,54%,52%,21 of 31,14 of 25,1 of 1,0 of 0,100%,---,0,0,0,0,3:28,0:00,9 of 17,10 of 20,1 of 1,2 of 3,2 of 4,0 of 0,6 of 14,10 of 20,0 of 0,2 of 3,6 of 8,0 of 0
Erik Silva,Francis Marshall,L,W,http://ufcstats.com/fight-details/581292ffe5b09344,1,2:29,3 Rnd (5-5-5),Fernando Salas Navarro,Featherweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,5 of 9,3 of 5,55%,60%,5 of 9,10 of 13,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,1:42,2 of 6,0 of 2,1 of 1,0 of 0,2 of 2,3 of 3,5 of 9,3 of 5,0 of 0,0 of 0,0 of 0,0 of 0
Ailin Perez,Macy Chiasson,W,L,http://ufcstats.com/fight-details/c40b934d2666e351,3,5:00,3 Rnd (5-5-5),Raul Porrata,Women's Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,6 of 7,4 of 5,85%,80%,10 of 11,24 of 41,2 of 2,0 of 0,100%,---,0,0,0,2,1:19,2:48,4 of 5,4 of 5,0 of 0,0 of 0,2 of 2,0 of 0,1 of 1,0 of 1,1 of 1,0 of 0,4 of 5,4 of 4
Daniel Zellhuber,King Green,L,W,http://ufcstats.com/fight-details/81f3d28d30d17378,2,4:55,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,11 of 46,41 of 64,23%,64%,11 of 46,41 of 64,0 of 0,2 of 2,---,100%,0,0,0,0,0:00,0:04,3 of 32,10 of 23,3 of 7,15 of 19,5 of 7,16 of 22,11 of 45,36 of 59,0 of 1,5 of 5,0 of 0,0 of 0
Santiago Luna,Angel Pacheco,W,L,http://ufcstats.com/fight-details/3b76a00f5d0400eb,3,5:00,3 Rnd (5-5-5),Fernando Salas Navarro,Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,26 of 56,25 of 74,46%,33%,31 of 61,26 of 75,2 of 2,0 of 0,100%,---,0,0,0,0,0:50,0:00,15 of 34,20 of 68,9 of 20,3 of 4,2 of 2,2 of 2,16 of 42,24 of 72,9 of 13,1 of 2,1 of 1,0 of 0
Damian Pinas,Wes Schultz,W,L,http://ufcstats.com/fight-details/c6a85b67fdd2ef3d,1,2:30,3 Rnd (5-5-5),Horacio Lopez Villanueva,Middleweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",2,0,15 of 23,3 of 13,65%,23%,22 of 30,5 of 16,0 of 0,0 of 6,---,0%,0,0,0,0,0:49,0:28,9 of 16,0 of 6,2 of 3,2 of 5,4 of 4,1 of 2,8 of 13,3 of 12,1 of 1,0 of 1,6 of 9,0 of 0
Douglas Silva de Andrade,Javier Reyes,L,W,http://ufcstats.com/fight-details/6154ee95d3f4fc32,1,4:59,3 Rnd (5-5-5),Herb Dean,Featherweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,1,17 of 27,46 of 75,62%,61%,19 of 29,87 of 125,0 of 0,1 of 2,---,50%,0,0,0,0,0:04,1:57,8 of 15,42 of 69,2 of 4,4 of 5,7 of 8,0 of 1,17 of 26,9 of 32,0 of 1,0 of 0,0 of 0,37 of 43
Edgar Chairez,Felipe Bunes,W,L,http://ufcstats.com/fight-details/7df505d8260ba680,3,5:00,3 Rnd (5-5-5),Marc Goddard,Flyweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,4 of 9,5 of 13,44%,38%,6 of 11,64 of 81,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,3:26,1 of 6,3 of 11,1 of 1,1 of 1,2 of 2,1 of 1,3 of 8,3 of 10,0 of 0,2 of 3,1 of 1,0 of 0
